externalId	parentExternalId
7146	18628
10265	19213
11376	19952
20580	14161
18238	14161
3869	17040
10472	17530
20291	14161
10799	19399
19928	14824
19703	NA
13753	14829
19505	14819
3795	17046
17367	14820
4641	17252
18943	14161
12925	12076
17420	12226
8238	18828
8829	19420
15860	12094
5465	17237
277	17457
10602	19320
11688	20022
15716	12075
3046	16817
16173	12094
13793	14829
19694	14161
6087	17427
17854	14161
20669	NA
4184	17173
20639	14161
14252	12075
17661	12232
15257	12078
9418	16630
2435	17225
4486	18397
2127	16740
20931	16097
14587	12077
12439	14137
11112	19636
12438	14137
10294	16959
17787	14161
1150	16681
6845	18583
18976	14161
2448	17070
3745	17113
19051	14161
813	20589
6919	18590
20454	NA
5198	18438
8126	18811
20784	15955
3285	16912
17843	14161
3747	17113
10767	19395
6098	17349
8047	18800
13030	14827
11667	20039
15769	12076
10344	19262
2781	18284
16010	12103
10366	19268
9307	20328
17810	14161
18259	14161
18102	14161
15003	12077
10423	17179
3203	16830
16050	12095
11330	19754
2096	16737
16268	12110
16239	12309
1512	16706
15394	12075
13383	14831
10111	16859
20131	14161
9638	16916
273	18409
17931	14161
7399	18703
14932	12078
5609	17331
6428	17575
17959	14161
3325	16917
20181	14819
8281	18842
12305	12094
15597	12077
16532	12097
18689	14820
5664	17394
2897	16808
8677	19570
19109	14161
18491	12237
2442	16766
2443	16766
6902	17676
14697	14133
14026	14831
12864	12076
17463	14161
11238	19415
14981	12077
14218	12075
20167	14161
18111	14161
20021	14161
19939	12269
12956	14826
10048	16854
19281	14161
20292	14161
5299	18445
2558	17209
3421	16904
3086	17277
19486	14820
11558	19701
9747	17643
7624	18743
19826	14161
14816	14823
3817	17600
3935	17564
204	17063
20819	15988
12374	12075
5212	18438
21190	16350
5723	17617
5563	18467
2324	17124
6336	17393
1472	16703
234	18394
20346	NA
6151	17589
10082	16856
13566	14826
10935	19433
15653	12077
16278	12114
14209	12075
2399	16763
19820	14161
9182	20360
2296	16933
17531	14161
4475	16973
7298	18696
15591	12075
20409	14161
1561	17905
869	17234
14440	12076
18929	14161
18171	14161
21056	16219
14838	14827
6566	17565
13963	14831
13625	14827
16363	12094
760	20558
8247	18831
17342	14161
20497	14819
17212	14161
17015	12234
19682	NA
985	17086
14555	12077
5639	18474
9085	20112
1669	16722
1708	16954
9664	16883
11027	19470
3075	16819
15251	12078
15743	12077
15920	12094
2003	19361
14682	14133
8500	18864
9646	16916
10137	16946
13301	14829
2095	16737
11931	20136
13465	14833
7475	18714
10666	19340
6570	17565
10736	19360
11542	19698
16632	14819
15441	12075
4395	17675
6765	18575
1469	16703
10108	17322
18990	14161
1796	17099
19483	12219
20605	NA
15403	12076
15397	12075
7193	18649
3526	17001
19173	14161
12628	12075
11182	19605
13560	14826
12803	12077
14843	14827
13455	14833
18191	14161
21151	16313
